StationID,Station Name,Transport ID,Type,Country,District,Begin Date,End Date,Latitude,Longitude,Status
40KayserGebergteLVT,KayserGebergte LVT,,LVT,Suriname,Sipaliwini,,,3.053541266,-56.58322046,Niet-operationeel
40KwamalasamoetoeLVT,Kwamalasamoetoe LVT,,LVT,Suriname,Sipaliwini,,,2.351741137,-56.79023173,Operationeel
40LaduaniLVT,Laduani LVT,,LVT,Suriname,Sipaliwini,,,4.22843,-55.24123,Niet-operationeel
40NieuwJacobkondreLVT,Nieuw Jacobkondre LVT,,LVT,Suriname,Sipaliwini,,,4.936222585,-55.5347033,Niet-operationeel
40PaloemeuLVT,Paloemeu LVT,,LVT,Suriname,Sipaliwini,,,3.346259038,-55.4392345,Operationeel
40PoesoegroenoeLVT,Poesoegroenoe LVT,,LVT,Suriname,Sipaliwini,,,4.396287267,-55.78801818,Operationeel
40RaleighvallenLVT,Raleighvallen LVT,,LVT,Suriname,Sipaliwini,,,4.4392,-57.187318,Niet-operationeel
40SipaliwiniDorpLVT,Sipaliwini Dorp LVT,,LVT,Suriname,Sipaliwini,,,2.02,-56.07991,Operationeel
40StoelmansEilandLVT,Stoelmans Eiland LVT,,LVT,Suriname,Sipaliwini,,,4.351245206,-54.41953134,Operationeel
40TepoeLVT,Tepoe LVT,,LVT,Suriname,Sipaliwini,,,3.159317656,-55.70668863,Operationeel
40LangatabbetjeLVT,Langatabbetje LVT,,LVT,Suriname,Sipaliwini,,,4.997606,-54.517826,Niet-operationeel
40MoengoLVT,Moengo LVT,,LVT,Suriname,Sipaliwini,,,5.622399684,-54.38981075,Niet-operationeel
40AmotopoLVT,Amotopo LVT,,LVT,Suriname,Sipaliwini,,,3.533333,-57.6,Niet-operationeel
40LawaAnapaikeLVT,Lawa Anapaike LVT,,LVT,Suriname,Sipaliwini,,,3.429655543,-54.02561389,Operationeel
40LawaAntinoLVT,Lawa Antino LVT,,LVT,Suriname,Sipaliwini,,,3.404924498,-54.09269441,Operationeel
40LawaTabikiLVT,Lawa Tabiki LVT,,LVT,Suriname,Sipaliwini,,,3.680054597,-54.08514517,Operationeel
40CoronieLVT,Coronie LVT,,LVT,Suriname,Coronie,,,5.736389,-56.024722,Operationeel
40OelemarieLVT,Oelemarie LVT,,LVT,Suriname,Sipaliwini,,,3.116589345,-54.55934617,Operationeel
40AlbinaLVT,Albina LVT,,LVT,Suriname,Marowijne,,,5.501518025,-54.05413579,Niet-operationeel
40TijgerkreekLVT,Tijgerkreek LVT,,LVT,,,,,,,
50WakayVolunteer,Wakay Volunteer,,Veldmedewerker,Suriname,Nickerie,,9/3/2022,5.266667,-57.216667,Niet-operationeel
50AllianceVolunteer,Alliance Volunteer,,Veldmedewerker,Suriname,Commewijne,,,5.89444268,-54.88749986,Operationeel
50LeliendaalVolunteer,Leliendaal Volunteer,,Veldmedewerker,Suriname,Commewijne,,,5.85,-55.033333,Operationeel
50MoengoVolunteer,Moengo Volunteer,,Veldmedewerker,Suriname,Marowijne,,4/5/2023,5.62144444,-54.39105555,Niet-operationeel
50DomburgVolunteer,Domburg Volunteer,,Veldmedewerker,Suriname,Wanica,,,5.70111187,-55.08277508,Operationeel
50GrootHenarVolunteer,Groot Henar Volunteer,,Veldmedewerker,Suriname,Nickerie,,,5.86471,-56.88696,Operationeel
50NieuwAmsterdamVolunteer,Nieuw-Amsterdam Volunteer,,Veldmedewerker,Suriname,Commewijne,,,5.88555918,-55.09417042,Operationeel
50SpieringshoekVolunteer,Spieringshoek Volunteer,,Veldmedewerker,Suriname,Commewijne,,8/5/2024,5.86805317,-54.97277827,Niet-operationeel
50CultuurtuinVolunteer,Cultuurtuin Volunteer,,Veldmedewerker,Suriname,Paramaribo,,3/9/2024,5.83916808,-55.15944175,Niet-operationeel
50DirkshoopVolunteer,Dirkshoop Volunteer,,Veldmedewerker,Suriname,Saramacca,,27/4/2023,5.78952831,-55.48301041,Niet-operationeel
50GroningenVolunteer,Groningen Volunteer,,Veldmedewerker,Suriname,Saramacca,,16/11/2023,5.79167115,-55.47611525,Niet-operationeel
50TijgerkreekVolunteer,Tijgerkreek Volunteer,,Veldmedewerker,Suriname,Saramacca,,18/09/2023,5.84297655,-55.62826782,Niet-operationeel
50UitkijkVolunteer,Uitkijk Volunteer,,Veldmedewerker,Suriname,Saramacca,,,5.77722064,-55.34694143,Operationeel
50WegnaarZeeVolunteer,Weg naar Zee Volunteer,,Veldmedewerker,Suriname,Paramaribo,,9/12/2022,5.88995905,-55.23028479,Niet-operationeel
50DuisburgVolunteer,Duisburg Volunteer,,Veldmedewerker,Suriname,Paramaribo,,30/06/2022,5.80638634,-55.21416981,Niet-operationeel
50LaPouleVolunteer,La Poule Volunteer,,Veldmedewerker,Suriname,Saramacca,,31/01/2022,5.75,-55.416667,Niet-operationeel
50PeperpotVolunteer,Peperpot Volunteer,,Veldmedewerker,Suriname,Commewijne,,15/03/2022,5.8,55.15,Niet-operationeel
50KwattaVolunteer,Kwatta Volunteer,,,,,,,,,Niet-operationeel
50LelydorpVolunteer,Lelydorp Volunteer,,,,,,,,,Niet-operationeel
50StaatsboerderijVolunteer,Staatsboerderij (Reeberg) Volunteer,,,,,,,,,Niet-operationeel
50PericaVolunteer,Perica Volunteer,,,,,,,,,
60Albina AWLS,Albina AWLS,4EC136BE,AWLS,Suriname,Marowijne,13/8/2023,,5.516667,-54.043583,Niet-operationeel
60Bigipan AWLS,Bigipan AWLS,4EC12B1A,AWLS,Suriname,Nickerie,22/6/2023,,5.962181,-56.864031,Operationeel
60Nanisluis AWLS,Nanisluis AWLS,4EC166C2,AWLS,Suriname,Nickerie,12/5/2023,,5.882294,-57.078722,Niet-operationeel
60Nanizwamp AWLS,Nanizwamp AWLS,4EC125C8,AWLS,Suriname,Nickerie,17/6/2023,,5.812614,-56.984328,Operationeel
60Pikin Saron AWLS,Pikin Saron AWLS,4EC14EFC,AWLS,Suriname,Para,8/12/2023,,5.390281,-55.367542,Operationeel
60Pokigron AWLS,Pokigron AWLS,4EC0B250,AWLS,Suriname,Sipaliwini,19/5/2023,,4.488275,-55.365092,Operationeel
